,reviews
180,johannesburg to zanzibar via nairobi we booked our flights in feb 2018 from cpt to znz 4 sectors with 12 hours of travel 2 weeks before we flew we checked our flights and the final sector had been cancelled with no kenya airways office in australia i went online and chatted to an agent who quickly solved the issue and rerouted us at the same time reducing 4 sectors to 3 this was all fixed within 10 minutes of chatting on the day of travel everything went smoothly from to check in to boarding the flight was uneventful the service onboard was very good the flight attendants were lovely the food and beverages served were also good the one concern we had was whether or not our bags would arrived at the same time as we did to our surprise all bags for our party of 4 arrive at the same time and destination as us i think we were lucky on the day
181,airobi to new york awful service awful staff avoid this airline at all cost kenya airways is not the pride of africa id say its the shame of africa during the flight from usa to nairobi 14 hours long there was a young man speaking really loud and saying inappropriate things he was disturbing a lot of passengers obviously he was drunk yet he kept ordering alcohol and the staff kept giving him despite several complaints from other passengers including myself the staff of kenya airways did nothing stop him my brother and i had a 21 hours in nairobi kenya airways did not want to pay us a hotel like they did for other customers on the way back home the flight from nairobi to usa the staff was again rude and useless i felt sick and asked for water 5 times before i finally got it save yourself a headache and fly with another airline i wish i read the reviews before spending my money with them i will never fly with them again even if it was free wish i could put 010 as overall rating but the system wont let me
182,our luggage along with everyone else who connected to nairobi from kilimanjaro on 1501218 did not arrive at heathrow leaving us without clothes etc for three days our bags were returned tuesday evening however were in a completely unacceptable state both wheels ripped off as well as the handle we asked for compensation for the damage to the bag and the fact that weve had to buy clothes the customer service team however remained consistently non existent throughout the process calling over 14 times with no response and were yet to hear back regarding our compensation claim three days onward the flight etc was fine just hope that nothing else goes wrong else where as dealing with the customer service at kenyan airways has been completely awful
183,i am waiting here trying to board the flight from entebbe to nairobi its really pathetic that the staff of the handling agent das do not inform passengers on checkin that the flight is delayed while delay information is already in google there is no information updated on the screen and when you approach handling staff for information you have from the google that the flight is delayed they have zero information when the delay announcement is finally made kq offers passengers no respite not even a snack voucher for a delay of more than 4 hours the station manager is nowhere to be seen and since i have already missed my connection they are yet to confirm it they can put me on an alternate flight today until i reach nairobi this has happened to me over and over again i cant promise i wont fly back with them again because in this part of africa this is literally the only option i will tell you this they call themselves pride of africa but its literally shame of africa i dont expect anything to change with this review but at least i can warn people what to expect
184,my brother was to fly from johannesburg to zanzibar but the flight was overbooked and he was scheduled for another flight hotel stay and voucher included next was having to pay 50 for has piece of checkin baggage less than 23kg third was demanding he has an affidavit to fly as he had a one way ticket or they wouldnt give him a boarding pass lastly now that he is in zanzibar the luggage he paid for is missing a simple 6hr journey turned into a 24hr nightmare avoid them they offer very little on ground support and are rude avoid there are better and more value for money options in the african skies nowadays
185,amsterdam to addis ababa via nairobi horrible airline changed my flight significantly for no reason i did not get any support help or compensation on my inbound flight i have to wait 7 hours more on a layover than on my original flight on my outbound flight it is 24 hours in a country where i cannot escape the airport because id need a visa the customer support does absolutely nothing for you if you try to cancel they charge cancellation fees ie 300 ridiculous never book on this airline
186,london to zanzibar via nairobi this airline has degenerated into a mess much talk of its recovery but i am afraid that is not evident please expect to have your flight cancelled and you will be put on a new route of their choosing expect the transfer counter to be manned buy up to 3 people but only one actually working if your flight is not cancelled it will probably be late and you will be lucky to get your bags when you land when you do get your bags days later the list of excuses is endless you will also find some confusion from kenya airways who think they are doing you a favor finding the bag they lost
187,accra to dar es salaam via nairobi we were supposed to be picked up from the airport in dar es salaam by our tour guides and taken straight on a 3day safari we booked and paid for our flights with kenya airways 2 months ago believing kenya airways to be a reliable airline when we arrived 2 hours prior to our flight to check in we were told that the flight was full despite the fact that we had arrived within the requested time to check in and had paid 2 months prior to the flight we were kicked off the flight there were multiple other passengers that also were not able to check in because of too many ticket sales  1 of them had been able to buy a ticket that same morning online despite there obviously not being any left we purchased our tickets 2 months ago  how were there still tickets on sale the same morning and yet we who purchased our tickets 2 whole months ago were kicked off the flight this is unacceptable another had arrived 25 hour prior to departure and had still been kicked off he had also purchased his tickets much later than we had we were out in a hotel for the night with boarding passes printed for the next flight in 24 hours but also with the promise by kenya airways staff that early the next day they would try to find an alternative flight to get us to dar es salaam earlier we were already going to miss our airport pickup who was taking us straight onto a 3day safari for which i had already paid 300 us for we were interrupted during breakfast to rush back to the airport the staff told us we had been booked onto an ethiopian airways flight through addis ababa but they did not have flight details to supply us with they cancelled our tickets for the kenya airways flight that night after a long wait in line the checkin staff found only 1 ticket rather than 2 they couldnt tell us arrival time in dar es salaam but checked in our bags and a long time later gave us boarding passes on checking them we discovered our route would now include a 26hour stopover in addis not only were we leaving a day later than our initial flight but we would be now be arriving 48 hours later  a whole 24 hours later than if we had gone with the later kenya airways flight on showing the staff at kenya airways what they had swapped us over to they then told us the kenya airways flight that night was already full and we couldnt fly seriously this was ridiculous we were made to go back to the hotel and brought back to the airport that evening without any communication as to whether we would even be flying there was no offer of any compensation for the mess made by kenya airways  no upgrade not even an airport lounge no offer of a partial refund not even an apology instead we had a completely wasted day with massive amounts of stuffing around by kenya airways none of it was due to anything that we did wrong all of it was because they overbook their flights to make extra money this airline cant be trusted to get you from a to b
188,on july 2 my wife and i were scheduled to fly nairobi to london on kenya airways then on to the united states on delta i am a us citizen and my wife is a kenyan citizen with a us permanent resident card aka green card all went smoothly until the agent checking paperwork at the gate immediately prior to boarding denied boarding to my wife based on the idea a transit visa was required in the uk when in fact no transit visa is needed for our situation to make matters worse when my wife returned to the ticket counter for further assistance as instructed by the gate agent she was told there was nothing they could do for her and that she would need to purchase an entirely new ticket she purchased a one way ticket on another airline for a sizable sum of course i immediately filed a complaint with kenya airways and insisted on reimbursement after numerous inquiries into the status of my complaint and being told an investigation was ongoing i finally received an email on october 4 in which kenya airways admitted the situation was entirely their fault they offered what amounted to only 20 of the cost of her ticket for compensation after several more emails back and forth ive concluded they will never make things right and accepted their offer its impossible to argue with an airline headquartered in a developing country with no real consequences for appalling customer service their 787 aircraft are nice but i would stay far away from kenya airways you never know what sort of shenanigans they will pull and there is no way to hold them accountable after the fact
189,on the 10th july we were returning from cairo to johannesburg via nairobi flight from nairobi to johannesburg was delayed and this resulted in additional costs been incurred by my family the airline staff were very unhelpful and not interested in the implications caused for us caused by the delay resulting in the subsequent missing of our connecting flight to port elizabeth from johannesburg the representative merely stated that there was nothing he could do and that we had no recourse since the flight to port elizabeth was on a separate ticket and kenya airways contractual obligations ended in jhb at the airport in nairobi while we were seated on the plane it emerged that the pilot had not arrived for work in the end kenya airways asked a pilot from another airline to fly the plane
190,johannesburg to nairobi this airline lost our luggage for 7 days our dream holiday was a disaster could not get hold of any of their baggage handling departments in either johannesburg or nairobi many many emails to customer services all went unreplied according to hotel staff in nairobi this is a very regular occurrence to date we have had no interaction nor an apology from this airline do not fly this airline if you can help it
191,i can only recommend to anyone to avoid this airline i would even pay a bit more just to avoid kenya airways first our flight was canceled and we were given no information as to why the next one went only 24h later during this time they provided us accommodation but only two meals when i asked for a third they declined when i said that i disagree they simply said i could file a complaint to their main office on board our ordered special meals were missing once finally arrived my bag was missing they managed at least to get it to my hotel within 24h when i wanted to introduce compensation claims for the flight and baggage delays they sent me from one office to another up to this date the claims are still pending and i am not sure to get any form of compensation for the stress energy and extra expenses
192,on the 30072018 my 2 year old granddaughter and i were on a return flight from harare to bristol via lusaka nairobi and paris when we arrived in lusaka zambia we were informed that the plane was technically unfit to fly to nairobi this caused an unexpected 6 hour delay in lusaka in lusaka no announcement was given in regards as to what was going to take as a result of this delay we missed our connecting flight in nairobi to france which was at 2300 hrs on the the same day on arrival in nairobi the following morning 31072018 we were informed that the next available flight was available causing in fact a further 15 hour delay in our travel kenya airways booked us on a flight with klm to amsterdam which was a change from paris to bristol in our original itinerary all these delays and changes in our flights was extremely stressful
193,kigali to london via nairobi lost luggage i missed a connecting flight to london due to multiple delays the departure time on the ticket is just a suggestion i and my friend were on 4 different flights and all the flight were delayed which makes me think the issues with my flight was not an isolated or rare incident after missing the flight i asked for my luggage they said they couldnt get it for me but assured me that it would be put on the new kenya airways flight that put me on for the next day on getting to the airport i confirmed 3 times at different stages with the ground staff and they checked or pretended to their computer and confirmed that my luggage was on the flight only to get to heathrow and find out that it was never put on the flight then the nightmare begins their customer service phone doesnt work it passes you through a couple of options and then automatically drops the line online chat doesnt work you get intermittent help on twitter even though they are actively retweeting positive stories about the rubbish airline
194,entebbe to london via nairobi overall a very average experience with staff generally going through the motions medicore food limited drinks and threestar entertainment excellent baggage allowance and quick connecting times make this an acceptable option on the uganda  uk routing if the price is right my headphone socket was broke on the day time nbo  lhr flight which was really disappointing no sparkling water available nor amarula duty free items requested not available and i tried to order in advance which also did not work properly totally full flight london  nairobi departed with a 90 minute delay on the tarmac whilst awaiting atc issues captain welcomed us with a good morning at 7 pm this was slightly disconcerting and gave us very limited information about the delay cabin crew went round with water on one side of the cabin  but not on ours on time arrival into entebbe and luggage out quickly reassuring considering the delay in london making the connection tighter than it should have been a cooked breakfast on either the early morning arrival into nairobi or the 8 am arrival into uganda would have been really welcomed nairobi still a much better transit airport than addis but both carriers way short of the standards set by qatar airways emirates and klm which also compete on this route at good prices
195,johannesburg to accra via nairobi my luggage went missing in nairobi took three days to have my bags arrive in johannesburg when i got my luggage zips were broken locks removed and my some of my stuff were not inside
196,amsterdam to cape town via nairobi it took kenya airways more than 4 days to cancel the flight i had booked for november 2018 because they found that the price was too cheap in their app it is still confirmed i will never fly this airline because they are just not reliable
197,bangkok to guangzhou i am writing to complain the poor services provided kenya airways it is the most disappointed and frustrating journey  according to the flight information the aircraft should have taken off at 300pm in bankkok and arrived in guangzhou at 700 pm on that day however once we checked in we were told that the flight was delayed without detailed reason provided neither ground staff nor cabin crew could confirm the exact boarding time we had been waiting restlessly for more than 5 hours without any notice or compensation that is unacceptable it was until 825 pm that the flight took off which was 5 hours and 25 minutes later than it was supposed to be that ruined our trip on that day in addition during the flight one of passengers sitting behind me kept asking cabin crew for alcohol it astonished me that the cabin crew continued to offer her more alcohol consequently that overlydrunk lady was  out of control singing and laughing loudly it annoyed all the other surrounding passengers and adversely affected the safety of the flight i tried to summon assistance from the crew it surprised me that the crew ignored my call for four times i cannot tolerate such bad behaviour this is the worst flight and airline that i have ever taken i will never choose kenya airways for any single trip in future
198,heathrow to lilongwe via nairobi and  30hours later ther luggage doesnt arrive at the other end the next day i  ring the airport and told  luggage will be on the next flight from heathrow and will arrive in lilongwe and i can collect from there i pay 70 dollars for a cab back to the airport as a single young female to be told your luggage didnt reach lilongwe as it had to stay in nairobi airport as there wasnt any room on the flight not just your bag but 17 others but why this wasnt priority as they didnt get it right the first time  i dont know to be told the next day that you would get a telephone call to arrange pick up of your bag simple right no you arrive at the collection area to pick up your luggage and its looked and because its sun youll have to sit and wait 6459 am still no one and when you go and look for that person who knows you are waiting she is sat having breakfast it is now 5 days later and still no bag the staff have been next to useless except for one kind soul who may or may not deliver watch this space  the latest is they will deliver her bag tonight or tomorrow 67 days after this is not acceptable what is so difficult
199,airobi to cape town via livingstone we took a few days break in livingstone between nairobi and cape town and so experienced two separate kq flights both checkins and boarding processes were smooth and easy  except that on the first flight some passengers were allowed to carry huge quantities of hand luggage on board causing some chaos and frayed tempers the seats were a little narrow on the first flight the breakfast served was expansive with three choices offered in economy class the lunch on the second flight was also good the first crew were rather brusque and unsmiling  but this was made up for by the friendly crew on the second flight which was much less full on both flights the crews served all the food and drinks in a few passthroughs in the first hour and then disappeared until landing the flights operated on time and luggage was quick to appear overall a pleasant experience
200,johannesburg to kilimanjaro via nairobi lets start with the flight out of johannesburg being delayed such that i missed my connection from nairobi to arusha at 630 that evening upon arrival i went to the kenya airways desk to arrange the next flight to arusha they proposed an 1150pm flight this flight actually would stop in zanzibar first thus arriving in arusha at 310 am i was aware of that flight i had to ask if there was an earlier flight  hen and only then did the staff say there is a precision air flight at 1050pm i replied and is that a direct flight she answered yes i then had to connect the dots for the kenya air staff as obviously they are not trained to use common sense or think of their customers at all i politely said  and doesnt kenya airways run precision air at that point the stars aligned and she asked if i would prefer that flight well yes i would prefer getting to my lodge 3 hours earlier as it would be the middle of night it gets better i needed to return a day earlier so my agent called kenya airways on the cost to change  the cost they quoted was more expensive than just going on expedia and buying new tickets from arusha to johannesburg on kenya airways i just went ahead and bought all new tickets home to johannesburg on a different airline never fly them again they failed miserably
201,i was scheduled to fly business class on kenya airways from bangkok to nairobi but unfortunately i had to cancel the flight for business reasons i duly filled the forms for refund got a confirmation from kenya airways on april 11 but no refund was made until now ie almost 2 months later i got in contact with customer service where i was told that they have a backlog and are working on it no date for the refund could be obtained this is very annoying as we are speaking about a substantial amount of money and this means that kenya airways is now on my private black list
202,entebbe to london via nairobi i recently spent some time volunteering in uganda and whilst i was there broke and dislocated my ankle quite badly i needed to return home a few days earlier than planned to undergo surgery so rebooked a flight at additional cost and requested wheelchair assistance upon arrival at entebbe airport they seemed unaware of my situation despite having been informed but did sort out some help i also asked if it would be possible to be upgraded if there were spare seats in business class as it was important to keep my leg which was in a cast elevated as much as possible and particularly during a flight when it may swell more the check in desk confirmed there were seats but that they couldnt upgrade me there but that it should be possible in nairobi where i would change to take an 85hr flight to london at the gate in nairobi i once again asked if it would be possible to sit in business class so i could elevate my leg the man on the desk said that he couldnt do anything without invoicing me but it was his attitude rather than refusal that really annoyed me he was completely unsympathetic laughing at me and treating me as if i was just trying to get some free perks i was clearly in pain and the most annoying thing was that the flight was actually half full as a goodwill gesture hed upgraded me to the seats with more legroom but as i explained to him when he did so that would not help as there was nothing to rest my leg on so it was still dangling down putting pressure on the ankle and causing swelling this seat was also very awkward to get in and out of due to the way the screens came out of the seat from the side and had no additional room to the side as the armrests were fixed however it did provide me with a great view of the business class section which was virtually empty and i was galled to see there were several passengers in economy with at least 4 seats to themselves enabling them to lie down for the entire flight and had they so wished to elevate their leg at no point had the man on the desk mentioned that there were many spare seats which would have enabled me to elevate my leg quite comfortably despite me explaining the issue none of the air hostesses expressed any concern for my situation throughout the flight despite my obvious discomfort and attempts to create a platform from bags and cushions to rest my leg on whilst i understand that other people have paid for the benefit of a business class seat i felt that in extenuating circumstances such as this the airline could have made a goodwill gesture to ensure their passengers wellbeing and comfort i will not be recommending them to others and certainly wont be rushing back to travel with the pride of africa any time soon it topped off a disappointing end to what would have been a fascinating trip but has left a sour taste in my mouth for this particular airline
203,airobi to dubai i would like to commend the crew on a pleasant flight the service was exemplary the cabin staff in our section was courteous and her service good the flight was very smooth  managed to sleep which i find difficult to do in most planes
204,airobi to mombasa checkin was fast and easy and flight boarded and departed on time departure was very rushed and the cabin crew did not perform all the necessary safety checks after takeoff a cold dry croissant was served as breakfast by a very rude flight attendant who would have a go at anyone who asked for anything more than the teacoffeejuice and dry croissant that was available the aircraft cabin could have been cleaner
205,flew kenya airways from nairobi to birmingham via amsterdam the flight was good the cabin crew were great and the food was good however the seat button adjuster ref seat 23j is depressed in the slot hence was unable to adjust my seat and get some sleep hope maintenance can get this sorted sometimes it took too long to clear tables after meals this can be improved
206,airobi to lusaka i travel almost every quarter between lusaka and nairobi and back and my experience is good the crew are courteous and friendly and helpful  one little disappointment though which i have experienced about twice is when the on board duty free shop catalogue indicated there was a special offer of a perfumecologne on sale and when i asked for it i was told it was not available and i also knew i was the first to ask amongst the passengers the product this time on my return trip to lusaka on thursday 29th march was a safari cologne for men by ralph lauren advertised at a special price but no product and no apology in the catalogue
207,i flew the route kinshasa to nairobi march 26 and back march 30 the flighttime is over 3 hours but kenya airways for whatever reason used the embraer 190 which should be used only on short haul flights both times the cabin was full and there was not enough space in the overhead compartments for hand luggage the seats are not comfortable and do not fully recline it was not possible to work as the cabin was too noisy and crowded definitely i will choose ethiopia airlines which uses a boeing 787 for the flight to addis ababa and never kenya airways again
208,a complete disappointment from start to finish delays can happen but they should be communicated properly the 45 min delay turned out to be over 2 hours cabin was untidy and dirty when joining the flight which originated in guangzhou in bangkok the seat was spacious but lacked any privacy dividers or hoods leaving one exposed to the frequent foot traffic walking up and down the cabin all night inflight catering in premier world was mediocre no menu was handed to passengers a cold chicken pie and some vegetarian snack was offered alongside a small chocolate cake after takeoff for this 8h30 overnight flight no appetizer no salad no option of a warm meal just some basic finger food the crew had to be reminded to hand out the amenity kits which contain eyeshades socks ear plugs a pen and toothbrush cabin lights were dimmed but the crew didnt bother to close the curtains between the galley at the second door and the cabin leaving the front section bright and uncomfortable landing in nairobi was 1 hr 20 minutes behind schedule ground staff made little effort to accommodate connecting passengers who missed their connection overall an underwhelming experience for the same or lower price i would rather take in the 2 hour or so connection timw in doha dubai or abu dhabi and fly with an airline which takes onboard service and passenger comfort seriously
209,entebbe to mumbai via nairobi connecting on jet airways to colombo the ground staff was acting completely arbitrarily and each of them had different rules our main problem with kenya airways was not on board but with the ground staff my husband ugandan and i german were booked on a flight to colombo in sri lanka it was a oneway ticket since the sri lankan visa is only for 30 days i had another flight booked with malaysian airlines to cambodia within that period my husband and i both had evisas for sri lanka so when we came to entebbe airport the kenya airways lady at the checkin counter didnt let us board the airplane she claimed that ugandan citizens werent allowed to go to sri lanka on an evisa our evisa was already granted and even certified by the sri lankan embassy in kampala also she said that we had to have a flight from sri lanka back to our home countries and she couldnt let us go there on a oneway ticket when i told her about our outbound flight with malaysian she said that there is a rule that every person has to return to their home countries within one year so we had to show her a ticket back to our home countries otherwhise she wouldnt check us in as i said she was acting totally arbitrarily unbelievable so in the end i had to book a flight for each of us back to our home countries which i of cause cancelled immediatly once arrived in colombo i did it right there and then at the airport but she still had the opinion that our evisas werent ok so we missed the flight then the lady took us to the kenya airways office at the airport and looked for another flight for us but since it was our mistake that we missed it we had to pay for the change fees she then told us to go to the sri lankan high comission in kampala the next morning and apply for the normal visa in general this lady was very rude when i tried to explain to her that our evisas were already approved etc she told me to shut up and that she was tired of dealing with people like us so when we went to the embassy we talked to the ambassador personally and he was completely shocked that they wouldnt let us board the airplane since ugandan citizens can go to sri lanka on an evisa and ours was already approved he gave us his personal number so that we could call im in case we would have any problems again the next day the checkin lady wasnt there and we had no problems to board the airplane even though our visa was still the same and no one asked us for return tickets to our home countries when i sent a customer complaint to the kenya airways customer service they answered me that they received it and would forward it to someone from the customer service team but after that i didnt receive a reply for 1 month so just recently i emailed them again saying that i am still waiting for a reply but nothing happend i am deeply disappointed this was my first experience with kenya airways and it was the worst thing that ever happened to me in terms of flying never ever did i experience something like that with any other airline i lost a lot of money and i didnt even receive an apologetic message from them not even talking about compensation for the inconvenience i would never recommend this airline to anyone dont fly with kenya airways if you dont want to have incidents like this just save your time money and energy and fly with other airlines like qatar or emirates
210,airobi to kisumu domestic kenya airways is surprisingly good i figured out the reason why big shots travel these routes together with tourists so these are the folks that can cause trouble for management if it is not together service check in safari lounge snacksdrinks are served on very short haul flights seamless check in service with delta airlines elite medallion members is a excellent service kenya airways offers on odd thing is if you are connecting in nairobi to a domestic destination you have to exit the domestic area then recheck everything again for your onwards domestic connection which adds to the hassle
211,airobi to amsterdam the flight and boarding process for kenya airways was seamless being a platinum member kenya airways is very good at recognizing status even at the safari lounge i admit the new terminal gates are rather confusing in numbering however  the meals etc were acceptable flight attendants were good too while not at the standards of the game lodges and many restaurants in the country in terms of wait service they were fine the big issue with me was the seats they were extremely uncomfortable in economy even with a neck pillow the seats were hard and cramped this will become a challenge for passengers on their soon to start nonstop to new york sitting 155 hours on these seats would not  be something i would do would rather prefer the connection an odd thing happened when we arrived at amsterdam the flight was met by armed dutch state police going through kenyan passports with microscopes a testament to how useless the kenya passports are nowadays due to the rampant corruption from kenyan immigration
212,london heathrow to nairobi i rang kenya airways office in london at about 8 pm to book a ticket for my 15 year old daughter to travel to nairobi the lady told me they dont take payment by phone she needed to fax me a form to complete and return with bank details i told her i have never seen a facsimile machine for over 15 years she said she could not help if i had no access to fax machine i rang 30 minutes later and a man answered quoted me a little lower price for the same travel days and was ready to take payment on phone and do the reservation i told him i will call in ten minutes since i did not have my card ready after 10 minutes another lady answered and quoted me a fare 200 higher when i mentioned that i had been quoted a different fare just a few minutes before and wanted to speak to the guy she said she did not know where he was i rang first thing the following day and another lady did the booking by phone within a few minutes at a much lower fare without haggling the issue of fax machine did not arise and i wondered if each person on shift had their own rules i am aware fare prices change but how they fluctuate upwards and downwards within minutes by margins of over 200 for the same daytime of travel is unbelivable
213,i will never fly with kenya airways again or a heads up for anyone who is daft enough to fly kenya airways they call themselves the pride of africa i would like to challenge that and say they are the hustlers of africa they have left me stranded in kenya with half my family on the flight and put a suspension on the last leg of my flight due to me missing one leg of my domestic internal flights even though i have fairly paid for all my seats on all the connecting flights speaking of the unhelpful customer services i spent 30 mins on the phone only to be placed on hold and eventually cut off with the issue unresolved i then decided to go to the main office in nairobi in hopes that something could be appeased only to find out that my only option is to book a new flight my primary advice would be never to fly with kenya airways they have such nonsensical and unfair policies if you are forced to fly kenya airways remember to take all your connecting flights and if you miss it for any unfortunate circumstance notify the airlines
214,mombasa to guangzhou via nairobi the boeing 787 is a  must try service on long range routes and they have great inflight service i only got confused at the number of times cabin crew changed but still great good food great sleeper seat i would fly again  only let down ground crew especially in guangzhou and mombasa difficult people
215,we arrived in dubai and searched for our baggage for 2 hours got sent from pillar to post until we were eventually sent to the baggage claims dept only to be told there wasnt enough time to put our baggage 4 suitcases on the plane in nairobi so it was left behind but it would arrive the following day at 130 am 20 hours later the result one whole day wasted at departure in cape town we were told they had no fragile stickers my husband and i were put in separate seating areas despite purchasing the tickets simultaneously using one card they managed to sort that out as we boardedthe plane was old and dirty too the mistake and lack of acknowledgement is 930 aed and 20 hours wasted eventually we got hold of the kenya airways office at dubai airport who organized with emirates to bring our suitcases with their next flight which lands at 1030 tonight so here we wait i will never recommend kenya to any of our expat friends who travel this flight on a regular basis
216,dakar to johannesburg via nairobi a colleague and i were booked to travel from dakar to nairobi and from nairobi to johannesburg the point of taking this route was to get to johannesburg before noon on saturday 9th in order to attend to other commitments there kenya airways seemed the most convenient for our requirements there was a two hour plus gap between the scheduled arrival time of kq513 and the departure time of kq760  so none of us could have imagined the nightmare that awaited us at the kenya airways hub in nairobi  due to a 2hour 15 minute or longer delay of the departure of kq513 from dakar we barely made it on time for our connecting flight there was no ground staff available to assist us get to the connecting flight the ground staff at the gate were quick to gleefully tell us that we had been offloaded from flight kq760 to johannesburg  they were there to block not to facilitate passengers following desperate pleas they decided to board the business class passengers and not economy class  thus separating my colleague and i when i pleaded on my colleagues behalf i was told that not enough meals were loaded into the economy class cabin if passengers are late due to a kenyan airways delay and no fault of their own ground staff should meet the passengers and escort them to the connecting flight if it is still on the ground in the event that the flight is overbooked tell passengers the truth than use an excuse as pathetic as the one that was given by ground staff
217,johannesburg to addis ababa via nairobi upon arrival in addis ababa i collected my suitcase  only to find that it had been terribly damaged whats more is that i paid extra to have the bag wrapped in south africa i immediately went to the baggage help desk where i was given a reference number and told that i would be contacted for the entire stay in ethiopia i was not contacted by kenya airways when i returned to south africa i emailed the airline asking for an update i was referred to someone else and have still not been helped truly disappointed in this bad service
218,average to very poor experience they lost my baggage and still have not provided any update or response to my several enquiries to date i was on their flight from dakar to lusaka and later to heathrow and back to dakar i flew out on 4th november arrived in lusaka on the 5th the bag did not arrive i made a formal report immediately at the airport i had to follow up severally with them no one ever got in touch with me to give any feedback on my way to nairobi and in nairobi i was able to get hold of a representative i was asked to fill a claim form on the 11th of november and assured that they will get back to me within 28 days i did everything they asked me to do i heard nothing back from them  not at any point i called today 12th of december and was told my file had been closed and it is assumed the matter was resolved i have asked that i need a resolution i have not experienced such poor service anywhere never fly them if you have an alternative
219,we travelled business class from london to cape town via nairobi and kenya airways lost our bags we have spent our entire last 2 days trying to get this sorted with kenya airways and the customer service representatives cannot be bothered we have been directed round and around in circles never would we pay to fly with them again
220,dar es salaam to bangkok via nairobi i had the worst experience with kenya airways my flight got canceled for 7hrs they provided us with accommodation in nairobi however one of the staff at the airport in nairobi told me kenya airways isnt responsible for my ticket from bangkok to phuket  because it was domestic flight i was meant to use thai airways  it was their fault that my ticket from bangkok to phuket went to waste yet they told me i have to pay for my own expenses  i am more than disappointed with this flight i wont recommend to use it if you have a connecting flight from nairobi they do not take responsibility when it comes to such big matters
221,review   mumbai to khartoum via nairobi kenya airways is not bad flights are in time but found some cabin crew not fully experienced food and beverages are acceptable but lack of option and choice of service for the last seated passengers inflight entertainment is okay but not updated
222,review   nairobi to amsterdam the announcement about boarding times were clear during the waiting period boarding gates opened early enough it was easy to locate the gates as the airport is clearly marked and well lit the boeing b7878 is new even though the seat i had was somehow uncomfortable but with adequate leg room nevertheless the cabin crew were quite welcoming and wore a welcoming smile the aircraft left on time once airborne we were served snacks then a tasty meal followed including options of drinks no sooner had we settled for a nab another round of snacks came along then a meal it was an endless supply of food by an efficient cabin crew we landed at amsterdam on time  i recommend this airline
223,review   dar es salaam to bangkok via nairobi it is obvious why this airline is in deep financial trouble none of the payment methods on their website work  we tried several different credit cards from different banks from accounts in different countries including east africa and none of them worked flights need to be paid for with an additional fee  they will not waive it even though their website has payment issues over the phone or through thirdparty websites we needed to change our business class tickets to the next day due to unforseeable changes although their website says you can do this online you cant again it wouldnt take any payment method even when we did a 3 way call between our banks and the airline their solution was to write an email to their tech department all of the flight options the website showed were different from what the kenya airways representative could see on their end all of the flight options the representative could see were hundreds of dollars more than what was being shown to us on their website after several hours 12pm until 7pm and dropped calls later they finally booked us a ticket that ended up costing us significantly more and we ended up losing our business class seats we couldnt pay over the phone and so we were told we could pay at the airport at no extra charge upon reaching the airport the ticketing agent charged us even more than the price on the emailed ticked we had she refused to call the manager and told us we could either pay the extra money or not get on the flight once finally reaching our destination we tried reaching out to kenya airways several times to share our poor experience hoping they would do something about it to avoid losing our business in the future as we fly into east africa often to vist family  friends instead we were met with a generic email replies telling us they were looking into the situation this airline and their customer service is a disappointment unfortunately they have a monopoly over the east african region offering the only choice to fly between major cities if you are flying into the area from outside of east africa there are plenty of other airlines based in the middle east south africa and other continents which are far more reputable
224,review   zanzibar to johannesburg via nairobi we were told that due to overbooking we must take a later flight about 4 hours they always overbook a flight so we were the unlucky ones who have to take a flight four hours later with zero consideration for the inconvenience caused there will be no compensation as they booked us on saa this again was our fault we insisted on lunch which was a burger only because kenyan airways policy does not buy sides we were informed our luggage was on the saa flight after 30 minutes of waiting we realised that our luggage has not arrived with us after numerous queries we managed to locate our luggage thanks to helpful staff at or tambo as the lady at the counter said that we must actually be thankful that our luggage has arrived the staff at kenyan airways was unhelpful and made as though everything was our fault i will never fly kenya airways again
225,review   london to dar es salaam via nairobi heathrow to nairobi was full had an aisle seat but cushion was well worn evening meal served by efficient cabin crew meal and breakfast was better than on some better known airlines nairobi to dar es salaam on embraer 190 was a pleasant flight comfortable leather seats and another breakfast flight was on time return flight from dar es salaam scheduled for 345 am which was a bit inconvenient but get to the departure gate in good time  this flight left 15 minutes early as all passengers had boarded aircraft was clean breakfast was served cabin crew efficient at nairobi there is a scheduled 4 hour wait for the flight to heathrow again aircraft was on time and nearly full yet another breakfast this time a full meal with three choices  omelette sausage or vegetarian cabin crew efficient and worked smoothly and without fuss had an aisle seat next to the exit door plenty of legroom and a comfortable flight maybe they could have done a couple of water runs as it is a long flight arrived on time but had to stack as airport was busy i have used kenya airways before this year they are worth considering and are a cut above some of the uk competitors in terms of food and comfort
